X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
201,1,12  31 23111114121413133111 5 7 5 5 5 5 5 5 7 8 7 71101 5 5 8 3 5 3 8 7 7 8 8 7 844421333332,NA,110 9,211112 11 1      3 3111111444414443 3694512,NJ,0090015010010875412E,1,NA,10.911
201,1,12  1  111222253 1023233333 3 7 5 5 4 5 2 3 6 7 7 72  2   3 7 4 5 5 3 2 5 6 7 8 712121122222,NA,2,111112 11 2      141221111334424441275575111,NJ,0090015010015640212E,1,NA,8.991
201,3,21 21  2311444411 423323323 69797 8 6 8 6 4 797 7 61 42   597 4 597 6 5 4 7 7 5 344321311112,NA,1 4,221122211 22     112111111442214242163232411,NJ,0090015010010875412E,1,3,1.001
201,1,22  321131111113 98 1111111 8 5 6 6 6 6 8 8 8 8 8 72  2   8 7 8 5 6 7 8 7 8 7 1 834422222222,NA,1 9,121212 11 1      6 2111111434413442 5208442,NJ,0090015010013640212E,1,NA,1.001
201,1,22  1  2312222211 9922233239797979797979710979797102  19698989898989898989898989841331123132,NA,116,121122 21 2      4 411111948433444913684512,NJ,0090015010015640312E,1,NA,14.241
201,2,122 1  231144443 1033222323 7 2 5 5 6 7 7 3 3 3 3 31 61 7 610 5 2 5 5 5 4 8 9 3 344411112222,NA,2,211122 11 1      4 422222244442444322194522,NJ,0090015010015640212E,1,3,3.431
201,1,22  322,NA,NA,999999 999                          325 52,NJ,0090015010015640212E,1,NA,4.571
201,1,22  1  911111113 98 1111111 6 9 4 6 3 4 5 5 6 6 6 42  2   6 5 5 6 5 5 5 6 5 5 5 544432339232,NA,110,121121 11 1      13211111143334234116415512,NJ,0090015010010875412E,1,NA,8.241
201,3,22 21  9311444411 9933383831010101010101010101010108  2  981097 1 1 1 1 19797979844421122122,NA,1 6,221122 21 2      4 1111111444434442162752111,NJ,0090015010010875412E,1,1,3.571
201,2,112 2  131324443  923833333 7 5 2 5 5 5 7 2 2 2 2 21101 9 110 2 2 1 1 2 7 5 8 2 514411111122,NA,2,211122211 22     11111111142422444226557522,NJ,0090015010015640312E,1,1,6.491
201,1,22  2  2322344412 813331333 6 598 598 4 6 4 4 4 4982  2   5 5 5 598 5 5 5 5 5 59822431133331 7,NA,9,111122 11 2      14311111144422444225385522,NJ,0090015010015640112E,1,NA,9.521
201,1,12  1  131144443 97 3333333 610 8 6 8 5 5 8 8 8 8 82  2   5 8 8 5 5 3 5 8 8 8 5 544421122211 512,NA,2,111112 11 2      142999999333314442265445111,NJ,0090015010015640312E,1,NA,11.721
201,1,12  2  311111113  221333133 5 5 5 5 5 5 5 5 5 5 5 51 29   8 79797979797979797979744413331112,NA,2,221112 11 1      19111111144444444227596512,NJ,0090015010015640112E,1,NA,8.991
201,1,12  1  231914443 1723333313 7 7 6 7 6 5 7 7 7 8 6 72  2   5 8 4 4 4 3 5 6 6 498 44442113122112,NA,9,211192 11 1      111111111444222243272465111,NJ,0090015010013640212E,1,NA,4.161
201,1,21  1  3323323411 923233333 8 7 8 8 7 7 6 6 8 8 7 81 51 7 6 7 6 6 6 7 3 6 7 7 7 722431123231 7,NA,2,999999999 29     11311111144441444323232522,NJ,0090015010015640212E,1,NA,2.941
201,1,12  1  11112411111733133131 7 9 7 6 7 8 6 8 7 7 7 81101 4 5 8 3 2 3 3 3 4 4 6 5 44441113312112 8,NA,116,211111 11 1      13211111144442344126213312,NJ,0090015010010875412E,1,NA,1.851
201,1,22  2  11111111111732133133 5 5 5 5 5 5 5 5 5 6 5 68  8   597 3 3 4 5 3 5 5 5 5 544431333331 6,NA,1 8,999999 99 1      112111111444234443245295111,NJ,0090015010010875412E,1,NA,12.641
201,1,22  1  111229949 98 8888888 5 5 5 5 5 5 5 5 5 5 5 58  8   1 1 1 1 1 3 3 3 3 2 1 133311333312,NA,2,211112 11 2      23311111131411444913628512,NJ,0090015010013640212E,1,NA,6.221
201,1,12  933,NA,NA,999999 999                          423 14,NJ,0090015010013640212E,1,NA,1.001
201,3,11 42  23114444111093332333 5 5 5 5 8 610 4 5 597 52  2   1 5 1 1 5 1 4 5 1 1 1 144412231222,NA,1 8,211112111 11 5131143111111444424442152934411,NJ,0090015010010875412E,1,2,1.001
201,1,12  322,NA,NA,999999 999                          319 53,NJ,0090015010013640112E,1,NA,1.001
201,1,22  1  21199111111033131118 8 7 8989898 5 8 598 7982  11098989898989898989897989844433293931 6 2,NA,1 6 3,999999 99 1      24311111144444444925255512,NJ,0090015010013640212E,1,NA,6.781
201,1,12  322,NA,NA,999999 999                          636 51,NJ,0090015010013640212E,1,NA,4.701
202,1,22  1  231234451197 2832323 59797 9 597 597 397 5 48  8   210 5 1 6 5 198 6 597 612431111212,NA,2,111112 11 2      13311999944444444226504522,DC,0190075110078840115E,1,NA,2.973
202,1,22  1  2211111413 921333121 5 5 5 5 5 5 597 5 5 5 51 98   510 1 5 5 5 1 51010 5 533411111112,NA,2,119222 11 1      11322211144442444216524522,DC,0190075110078840115E,1,NA,2.973
202,2,122 2  212222223 1232222222 1 4 2 2 2 1 3 4 2 5 3 21 8112 1 2 3 1 2 1 2 2 2 3 1 144421112112,NA,2,211112 22 1      3 311111144444444227749522,DC,0190075110078840115E,1,3,1.423
202,2,212 1  232224343  313232122 89797 79797 7 3101010101 91 31097 2 5 1 1 1 5 6 6 6 531411191112,NA,2,221112111 19     143111111444314442223545211,DC,0190075110078840115E,1,3,13.973
202,1,22  2  331344449  923333833 5 597 5 5 5 5 5 5 5 5 52  2  97979797979797979797979744433333322,NA,9,299192 91 2      142111111444428342175875111,DC,0190075110078840115E,1,NA,8.333
202,1,12  2  231111149  491832331 2 3 4 5 2 4 2 2 3 4 4 42  1 1 2 5 3 4 2 3 2 3 3 4 3 344412112232,NA,2,221122 11 2      3 411111144442444227999522,DC,0190075110078840115E,1,NA,3.613
203,1,22  2  1311111112 521333113 7 8 7 8 8 8 8 8 9 9 8 91121 4 5 7 6 6 6 7 6 7 7 9 7 844212221122,NA,2,121111 11 1      241111111444424441274575111,CT,0090015010015483211E,1,NA,8.541
203,1,22  1  921324443 171383213397 5 5979797 3 5 8 497 42  1 8 79797979797 7979797979734219122121 9 8,5,2,211112 11 1      11311111144442444326636512,CT,0250245330275483221E,1,NA,11.091
203,1,21  2  131131113 1731113313 1 1 1 1 1 1 1 1 1 1 1 12  1 5 5 5 5 5 5 5 5 5 5 5 5 54443212332110,NA,116,122121111 12     11111111144144444126493512,CT,0090015010015483211E,1,NA,8.541
203,3,21 431 191199991297 318313898 8 310 6 810 7 7 698981 41 4 5 598 9 7 61098 598 6 844433399112,NA,2,121211111 12     142199191444144449 23224211,CT,0090015010015483111E,1,1,15.671
203,1,21  2  131191119  5213338381010 51010981010101010102  2   5 5 1 2 3 1 2 3 8 8 5 533412122221 2,NA,1 5,121121111 11 53334 211111144441244326367512,CT,0090015010015483211E,1,NA,8.241
205,1,21  2  9133232511 933331318 7 897 4979797 2 8 810 81111 8 8 8 2 6 4 2 997 9 910 744411123332,NA,2,211112111 12     14311111144434344123417512,AL,1850816910813440346C,1,NA,20.663
205,1,11  1  2122333311 923323323 9 1 6 297 8 8 7 8 8 8 72  196 1 8 1 1 1 1 8 3 3 5 7 343431333232,NA,1 4,911122211 2116331131111111444414441232845111,AL,1850816910812650336C,1,NA,16.643
205,2,122 2  191114449  131823888 9 5 5 6 898 8 9 7 798 82  8  98989898989898989898989844412231232,NA,2,111122 11 2      24211111144433444313239522,AL,1850816910813440126C,1,2,1.043
205,1,22  2  2322433212 493332333109898 498989898 5 4 4982  1 4 7 5 4 5 5 5 5 5 7 4 4 323299999992,NA,2,211222 22 2      29311111143242344223194512,AL,2210496300512880236C,1,NA,21.523
205,1,21  1  319944443 98 2333333 3 49798 6 4 4 3 2 2 1 42  2  9797979797979797979797 883311111132,NA,9,121221111 29     13322222242344331388988992,AL,221049630051    526C,1,NA,20.163
205,2,222 1  1111244412 833333133 5 5 1 4 5 5 6 6 3 1 5 12  1 9 6 5 1 5 5 5 8 5 1 1 1 133333133332,NA,2,211111 11 1      3 3111111434334342266245211,AL,2210496300511000126C,1,3,2.253
205,1,11  2  9221293413 411383333 7 2 3 3 5 5 2 4 5 5 6 22  1 7 5 5 2 4 5 5 3 5 7 6 4 322331131132,NA,2,221112921 12     3 222122244443344223553522,AL,2210496300511000126C,1,NA,18.603
205,1,21  1  2213294411 423223283 4 6 1 5 5 3 1 3 8 8 7 71 91 497 7 3 3 3 2 2 6 7 6 5 52211121111112,NA,2,122122122 11123334 111111122111244125358519,AL,2210496300511000326C,1,NA,23.753
206,1,22  2  3111191111 221321113 910 8 997 8 9 9 9 9 9 91102   9 4 3 2 2 4 8 997 6 4 744412332121 2,NA,1 2,999999 99 1      112111111443334342262635111,WA,1050148190127600119P,1,NA,14.584
206,1,11  31 111141551396         6 6 6 6 6 6 6 6 6 6 6 62  8  9898989898989898989898984443333313116,NA,2,111111111 1116111114111111444444443 65335311,WA,1050148190127600119P,1,NA,3.274
206,1,11  31 13114444121123333333 6 6 6 6 6 6 6 6 6 6 6 62  2   6 6 6 6 6 6 6 6 6 6 6 64443333333112,NA,1 910,111111111 11 3331144111111444444443 55335311,WA,1050148190127600119P,1,NA,5.164
206,1,21  1  121124443 1623233333 5 8 5 3 5 5 4 7 5 5 5 51 91 4 3 6 2 297 3 3 4 4 897 44441212212116,NA,112,999999999 12     11211111121121224125345512,WA,1050148190128200119P,1,NA,19.584
206,1,12  2  91139999111123828818 2 8 5 3 5 2 2 4 5 4 4 61 21 4 2 8 3 1 4 2 2 4 3 5 4 224311223111 9,NA,1 9,111112 11 1      3 322222222222444127759512,WA,1050148190127600119P,1,NA,7.574
206,1,12  332,NA,NA,999999 999                          899 24,WA,1050148190127600119P,1,NA,3.284
206,2,122 2  233329921116128222231010101010101010101010108  2   5 797 2 5 1 8 2 5 5 2 111411112112 1 2,3,1 4,211112 11 1      23211111133131414323254522,WA,1050148190127600219P,1,1,8.154
