AREA,SAMTYPE,SEX,S1,S2,S3,S4,S5,S6,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q5D,Q6,Q7,Q9,Q8,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q11A_Africa,Q11B_Europe,Q11C_MiddleEast,Q11D_Mexico,Q11E_CentralSouthAm,Q11F_Cuba,Q11G_Caribbean,Q11H_India,Q11I_China,Q11J_Japan,Q11K_Philippines,Q11L_OtherAsian,Q12,Q12A,Q13,Q13A,Q14A_Africa,Q14B_Europe,Q14C_MiddleEast,Q14D_Mexico,Q14E_CentralSouthAm,Q14F_Cuba,Q14G_Caribbean,Q14H_India,Q14I_China,Q14J_Japan,Q14K_Philippines,Q14L_OtherAsian,Q15a,Q15b,Q15c,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q19,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q22,Q24,Q25,Q26,Q27a,Q27b,Q27c,Q28,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q31e,Q31f,Q32a,Q32b,Q32c,Q32d,Q32e,Q32f,Q32g,Q32h,D2,D3,D5,D6,D7,D8,D9
201,1,1,2,,,3,1,,2,3,1,1,1,1,1,4,1,2,14,1,3,1,3,3,1,1,1,5,7,5,5,5,5,5,5,7,8,7,7,1,10,1,5,5,8,3,5,3,8,7,7,8,8,7,8,4,4,4,2,1,3,3,3,3,3,2,1,2,1,1,1,1,2,,1,1,,1,,,,,,3,,3,1,1,1,1,1,1,4,4,4,4,1,4,4,4,3,,3,69,4,5,1
201,1,1,2,,,1,,,1,1,1,2,2,2,2,5,3,,10,2,3,2,3,3,3,3,3,3,7,5,5,4,5,2,3,6,7,7,7,2,,2,,3,7,4,5,5,3,2,5,6,7,8,7,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,,1,1,,2,,,,,,1,4,1,2,2,1,1,1,1,3,3,4,4,2,4,4,4,1,2,7,55,7,5,1
201,3,2,1,,2,1,,,2,3,1,1,4,4,4,4,1,1,4,2,3,3,2,3,3,2,3,6,97,97,8,6,8,6,4,7,97,7,6,1,4,2,,5,97,4,5,97,6,5,4,7,7,5,3,4,4,3,2,1,3,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,,2,2,,,,,1,1,2,1,1,1,1,1,1,4,4,2,2,1,4,2,4,2,1,6,32,3,2,4
201,1,2,2,,,3,2,1,1,3,1,1,1,1,1,1,3,,98,,1,1,1,1,1,1,1,8,5,6,6,6,6,8,8,8,8,8,7,2,,2,,8,7,8,5,6,7,8,7,8,7,1,8,3,4,4,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,,1,1,,1,,,,,,6,,2,1,1,1,1,1,1,4,3,4,4,1,3,4,4,2,,5,20,8,4,4
201,1,2,2,,,1,,,2,3,1,2,2,2,2,2,1,1,9,9,2,2,2,3,3,2,3,97,97,97,97,97,97,97,10,97,97,97,10,2,,1,96,98,98,98,98,98,98,98,98,98,98,98,98,4,1,3,3,1,1,2,3,1,3,2,1,1,2,1,1,2,2,,2,1,,2,,,,,,4,,4,1,1,1,1,1,9,4,8,4,3,3,4,4,4,9,1,3,68,4,5,1
201,2,1,2,2,,1,,,2,3,1,1,4,4,4,4,3,,10,3,3,2,2,2,3,2,3,7,2,5,5,6,7,7,3,3,3,3,3,1,6,1,7,6,10,5,2,5,5,5,4,8,9,3,3,4,4,4,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,,1,1,,1,,,,,,4,,4,2,2,2,2,2,2,4,4,4,4,2,4,4,4,3,2,2,19,4,5,2
201,1,2,2,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,5,2
201,1,2,2,,,1,,,9,1,1,1,1,1,1,1,3,,98,,1,1,1,1,1,1,1,6,9,4,6,3,4,5,5,6,6,6,4,2,,2,,6,5,5,6,5,5,5,6,5,5,5,5,4,4,4,3,2,3,3,9,2,3,2,1,1,2,1,1,2,1,,1,1,,1,,,,,,1,3,2,1,1,1,1,1,1,4,3,3,3,4,2,3,4,1,1,6,41,5,5,1
201,3,2,2,,2,1,,,9,3,1,1,4,4,4,4,1,1,9,9,3,3,3,8,3,8,3,10,10,10,10,10,10,10,10,10,10,10,10,8,,2,,98,10,97,1,1,1,1,1,97,97,97,98,4,4,4,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,,2,1,,2,,,,,,4,,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,2,1,6,27,5,2,1
201,2,1,1,2,,2,,,1,3,1,3,2,4,4,4,3,,9,2,3,8,3,3,3,3,3,7,5,2,5,5,5,7,2,2,2,2,2,1,10,1,9,1,10,2,2,1,1,2,7,5,8,2,5,1,4,4,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,,2,2,,,,,1,1,1,1,1,1,1,1,1,4,2,4,2,2,4,4,4,2,2,6,55,7,5,2
